time,seed,event,user_id,user_stance,user_partition,ranking,num_rank,num_news,news_stance,highlight,in_this_session
1754925936,122,Interaction,71,-1,-1,5492178630,0,5,0,False,False
1754925936,222,Interaction,74,-2,-1,3146078295,2,4,0,False,False
1754925941,112,Interaction,67,-2,-1,4263578019,1,2,-1,True,False
1754925957,113,Interaction,68,-1,-1,2879046315,9,5,0,False,False
1754925966,111,Interaction,64,1,1,4150639827,7,8,2,False,False
1754925970,123,Interaction,73,-1,-1,4137906285,0,4,0,False,False
1754926023,231,Interaction,74,2,1,7910245863,0,7,1,False,False
1754926024,212,Interaction,64,1,1,9741680325,9,5,0,False,False
1754926027,214,Interaction,72,0,0,4678321950,8,5,0,False,False
1754926071,224,Interaction,70,-1,-1,0574139628,8,2,-1,True,False
1754926084,223,Interaction,74,2,1,3481602579,5,0,-2,False,False
1754926091,211,Interaction,73,-1,-1,1634572089,3,4,0,False,False
1754926135,224,Interaction,74,0,0,7490621385,3,0,-2,False,False
1754926140,133,Interaction,75,-2,-1,3594620871,6,0,-2,True,False
1754926155,134,Interaction,73,-2,-1,4127890356,8,5,0,False,False
1754926166,221,Interaction,70,-2,-1,6742580319,0,6,1,False,False
1754926175,112,Interaction,76,2,1,4263578019,5,7,1,False,False
1754926179,222,Interaction,80,1,1,4738162950,0,4,0,False,False
1754926196,124,Interaction,64,-1,-1,2169538740,2,6,1,False,False
1754926197,123,Interaction,78,2,1,4137906285,2,3,-1,True,False
1754926253,131,Interaction,80,1,1,1507263894,9,4,0,False,False
1754926260,211,Interaction,76,2,1,9834621057,2,3,-1,False,False
1754926303,224,Interaction,78,2,1,1527490638,9,8,2,True,False
1754926303,231,Interaction,79,2,1,7910245863,8,6,1,False,False
1754926318,232,Interaction,75,-2,-1,0214679853,2,1,-2,True,False
1754926333,123,Interaction,76,2,1,4317906285,5,0,-2,False,False
1754926352,233,Interaction,70,-1,-1,8051346297,2,5,0,True,False
1754926353,214,Interaction,80,-1,-1,8190432567,4,4,0,False,False
1754926367,122,Interaction,82,-1,-1,5492178630,0,5,0,False,False
1754926387,134,Interaction,76,2,1,4127895036,0,4,0,False,False
1754926408,211,Interaction,78,2,1,9384621057,9,7,1,False,False
1754926451,113,Interaction,85,2,1,2879504631,3,9,2,True,False
1754926460,223,Interaction,80,2,1,3408162579,1,4,0,False,False
1754926462,231,Interaction,82,-2,-1,4352987160,2,5,0,False,False
1754926481,111,Interaction,83,-1,-1,4158063927,0,4,0,True,False
1754926487,234,Interaction,67,-2,-1,1359782046,8,4,0,True,False
1754926512,132,Interaction,78,2,1,5147829630,3,7,1,False,False
1754926522,232,Interaction,79,2,1,1476092853,5,9,2,False,False
1754926527,222,Interaction,85,2,1,4738162950,0,4,0,True,False
1754926531,124,Interaction,75,-2,-1,6219538740,1,2,-1,True,False
1754926575,113,Interaction,82,-1,-1,2879504631,6,4,0,False,False
1754926594,231,Interaction,75,-2,-1,4532987160,0,4,0,True,False
1754926615,214,Interaction,82,-2,-1,8190432567,4,4,0,False,False
1754926638,221,Interaction,86,-1,-1,6742580319,2,4,0,False,False
1754926641,111,Interaction,85,2,1,4158063927,0,4,0,True,False
1754926682,234,Interaction,79,1,1,1437852906,1,4,0,False,False
1754926696,132,Interaction,83,0,0,5714829630,1,7,1,False,False
1754926723,131,Interaction,67,-1,-1,1507264389,0,1,-2,True,False
1754926759,124,Interaction,85,2,1,2619538740,0,2,-1,True,False
1754926769,213,Interaction,86,1,1,6084971253,3,4,0,False,False
1754926801,223,Interaction,67,-1,-1,0354681279,7,2,-1,True,False
1754926820,233,Interaction,79,1,1,3905416827,3,5,0,False,False
1754926894,212,Interaction,86,-2,-1,2483516970,4,5,0,False,False
1754926905,123,Interaction,83,2,1,4310796285,6,6,1,True,False
1754927016,133,Interaction,84,1,1,3509462871,3,9,2,False,False
1754927028,234,Interaction,86,-2,-1,1345978206,2,4,0,False,False
1754927096,124,Interaction,83,-1,-1,2619538740,6,8,2,False,False
1754927145,122,Interaction,77,-2,-1,5492178630,3,2,-1,True,False
1754927242,234,Interaction,77,-2,-1,1435978206,1,4,0,False,False
1754927411,131,Interaction,77,-2,-1,1507264389,8,8,2,False,False
1754934374,131,Interaction,4,2,1,1507826439,7,4,0,False,False
1754934390,132,Interaction,2,2,1,5714829630,3,4,0,False,False
1754934431,222,Interaction,4,-1,-1,3146078295,3,6,1,False,False
1754934454,214,Interaction,3,-2,-1,8190432567,7,5,0,True,False
1754934469,124,Interaction,4,0,0,2618953740,2,1,-2,False,False
1754934473,223,Interaction,2,2,1,3408162579,6,2,-1,False,False
1754934521,233,Interaction,4,1,1,3590416827,0,3,-1,False,False
1754934560,114,Interaction,2,1,1,1752309648,2,5,0,True,False
1754934586,234,Interaction,5,2,1,1437852906,3,7,1,True,False
1754934594,231,Interaction,3,-2,-1,4532987160,1,5,0,False,False
1754934598,212,Interaction,6,2,1,9745168032,6,8,2,True,False
1754934631,221,Interaction,7,2,1,6732584019,8,1,-2,True,False
1754934661,232,Interaction,8,-2,-1,0124679853,3,4,0,False,False
1754934673,122,Interaction,3,-2,-1,5249178630,9,0,-2,True,False
1754934723,112,Interaction,5,1,1,4276358019,0,4,0,True,False
1754934746,123,Interaction,3,-1,-1,4310679285,0,4,0,False,False
1754934781,224,Interaction,10,0,0,0749621385,9,5,0,False,False
1754934783,213,Interaction,9,2,1,6408971253,4,9,2,True,False
1754934788,211,Interaction,8,-1,-1,1634572089,1,6,1,True,False
1754934803,113,Interaction,1,-1,-1,2879450631,5,5,0,False,False
1754934806,111,Interaction,2,2,1,4158063927,6,3,-1,False,False
1754934815,121,Interaction,5,2,1,5204697381,4,6,1,False,False
1754934868,134,Interaction,6,2,1,4127895036,5,9,2,False,False
1754934886,123,Interaction,5,2,1,4310679285,3,0,-2,True,False
1754934903,232,Interaction,7,2,1,9147602853,2,4,0,True,False
1754934911,223,Interaction,8,-1,-1,0325468179,4,4,0,False,False
1754934939,234,Interaction,9,1,1,7143852906,6,2,-1,False,False
1754934960,133,Interaction,10,1,1,3950462871,4,4,0,False,False
1754934996,132,Interaction,1,-2,-1,5741829630,2,4,0,False,False
1754935008,114,Interaction,8,-2,-1,5172309648,3,2,-1,True,False
1754935028,231,Interaction,6,1,1,7916024583,3,6,1,False,False
1754935045,222,Interaction,9,2,1,4738162950,0,4,0,True,False
1754935048,111,Interaction,10,1,1,4153806927,0,4,0,False,False
1754935095,131,Interaction,9,1,1,1504782639,1,5,0,False,False
1754935101,113,Interaction,7,2,1,2879540631,6,0,-2,True,False
1754935116,112,Interaction,12,-2,-1,4276358019,0,4,0,False,False
1754935136,122,Interaction,10,1,1,5249170863,2,4,0,False,False
1754935136,233,Interaction,6,2,1,3590416827,2,9,2,False,False
1754935170,124,Interaction,1,-2,-1,2168953740,5,5,0,False,False
1754935238,121,Interaction,12,-2,-1,5620497381,2,2,-1,True,False
1754935266,133,Interaction,13,1,1,3945062871,3,5,0,True,False
1754935267,221,Interaction,11,1,1,6173258409,0,6,1,False,False
1754935270,134,Interaction,7,-2,-1,4129785036,8,3,-1,True,False
1754935284,211,Interaction,1,-2,-1,6134572089,4,5,0,False,False
1754935315,212,Interaction,15,-2,-1,2548316970,4,3,-1,False,False
